Economic Activity,Total Count,Male Count,Female Count,Total Percentage,Male Percentage,Female Percentage
nan,,,,,,
"Agriculture, forestry and fishing",23177.0,12401.0,10776.0,2.498224177273996,2.370357627539806,2.663575311009989
Mining and quarrying,32907.0,24836.0,8071.0,3.547010527745411,4.747214098667737,1.994962540382481
Manufacturing,90549.0,50847.0,39702.0,9.76018039556384,9.719020586042777,9.8134063657868
"Electricity, gas, steam and air conditioning supply",2560.0,1640.0,920.0,0.2759396769996734,0.3134736318978534,0.2274024950008527
"Water supply, sewage, waste management and remediation activities",5405.0,3270.0,2135.0,0.5825992008528261,0.625035839210964,0.5277220943769789
Construction,8474.0,7270.0,1204.0,0.9134034464434502,1.389605673108167,0.297600656501116
Whole sale and retail trade; repair of motor vehicles and motorcycles,244961.0,135018.0,109943.0,26.40408563184258,25.80767245828316,27.17533968247691
Transportation and storage,12427.0,9421.0,3006.0,1.339493111748024,1.800753101286389,0.7430129347527863
Accommodation and food service activities,119683.0,68522.0,51161.0,12.90050326654371,13.09746353957605,12.64580331167242
Information and communication,7344.0,4609.0,2735.0,0.791601948392813,0.8809755911080528,0.6760280693775351
Real estate activities,948.0,631.0,317.0,0.1021839116389416,0.1206108912972839,0.07835499012529383
"Professional, scientific and technical activities",10596.0,7011.0,3585.0,1.142131569331461,1.340099776363324,0.8861282006283229
Administrative and support services activities,35633.0,23056.0,12577.0,3.840843168175532,4.406980522583481,3.108740412636658
Public administration and defense; compulsory social security,34074.0,11280.0,22794.0,3.672800216440184,2.156086931590114,5.634143990271128
Education,161896.0,85240.0,76656.0,17.45059763575747,16.29298316034941,18.94757136607105
Human health and social work activities,44465.0,20792.0,23673.0,4.792835053824406,3.974233996597664,5.851412243646942
"Arts, entertainment and recreation",2824.0,1775.0,1049.0,0.3043959561902647,0.3392778637918841,0.2592882796259723
Other services activities,68612.0,44298.0,24314.0,7.395614499336559,8.467228625494581,6.009852460272537
