Registration Level,Total,Registered,Percentage
REGISTRATION LEVEL,,,
Sector,261549.0,194332.0,74.23
District,261549.0,185496.0,70.9
Rwanda cooperative Agency (RCA) ,2286.0,1193.0,52.2
Private sector Federation (PSF),253016.0,28389.0,11.2
Rwanda Governance Board (RGB),1418.0,750.0,52.9
Social Security Board (RSSB),261549.0,10663.0,4.1
Rwanda Development Board (RDB),261549.0,161221.0,61.64083976616236
Rwanda Revenue Authority (RRA),261549.0,238167.0,91.1
Directorate of Immigration and Emigration(DGIE),261549.0,955.0,0.42
